run,target_step,samples,duplicate_iterations_in_file,total_loss,dino_local_crops_loss,dino_global_crops_loss,ibot_loss,koleo_loss,lr,wd,mom
dinov2_vitb14_lvd142m_100pass_plan,1000,101,931,12.092832112076259,8.484369136319302,1.0732829039639766,2.5499729000695863,-0.023079598304068687,4.3366784114114165e-05,0.04000022384847168,0.9940000083943178
dinov2_vitb14_lvd142m_100pass_plan,20000,101,931,8.843028077984801,6.589756899540967,0.8172450549531691,1.4549254179000854,-0.03555902160040223,8.825945301554457e-05,0.04026147034935255,0.9940098051381008
dinov2_vitb14_lvd142m_100pass_plan,75712,101,931,6.64283564539239,5.382029179299232,0.6654548102086133,0.6103245503831618,-0.036972801284034656,8.632810095287925e-05,0.0438633869934208,0.9941448770122533
dinov2_vitb14_lvd142m_100pass_plan,151424,101,931,5.451310677103477,4.66645334734775,0.5760635786717481,0.24188323407480034,-0.0372737469059406,8.018368623688539e-05,0.05517737717031014,0.9945691516438866
dinov2_vitb14_lvd142m_100pass_plan,227137,100,931,3.1577594804763796,2.726719868183136,0.33520630419254305,0.1185656402260065,-0.03755401611328125,7.055782934486989e-05,0.0728336680085667,0.9952312625503212
dinov2_vitb14_lvd142m_100pass_plan,302849,100,931,3.132733316421509,2.722652552127838,0.33500032767653465,0.08443564355373383,-0.03772369384765625,5.8393753903455704e-05,0.09510668059983729,0.9960665005224939
dinov2_vitb14_lvd142m_100pass_plan,378562,101,931,2.1673033414500775,1.9063801257917197,0.23246581350812817,0.04933800677409266,-0.03773362565748763,4.488279207765906e-05,0.11982073891055497,0.9969932777091458
dinov2_vitb14_random_init_100pass,1000,101,0,13.919407202465699,9.870698721101968,1.2338603982830991,2.743432240911049,0.07016616292519144,4.3366784114114165e-05,0.04000022384847168,0.9940000083943178
dinov2_vitb14_random_init_100pass,20000,101,0,13.82422103504143,9.85809575449122,1.2322609519014265,2.7725740305267936,-0.038786331025680694,8.825945301554457e-05,0.04026147034935255,0.9940098051381008
dinov2_vitb14_random_init_100pass_v2,1000,101,230,12.13289756586056,8.603676163324035,1.0754532200275082,2.3658417026595315,0.08735652961353264,4.08525183240111e-05,0.040002014631095345,0.9920000447695799
dinov2_vitb14_random_init_100pass_v2,20000,101,230,9.9815300195524,6.976311650606665,0.8691787932178762,2.1563209637556926,-0.025527047638845914,0.0004983868444952391,0.04234938407788698,0.9920522085350642
dinov2_vitb14_random_init_100pass_v2,75712,101,230,7.653677628772093,5.082570557547088,0.6329627332120839,1.956808878643678,-0.027820398311803836,0.00045870942957941036,0.07393085939340241,0.9927540190976312
dinov2_vitb14_random_init_100pass_v2,151424,101,230,7.5047845415549705,4.778482607095548,0.5936782218442105,2.1656520107004904,-0.02858817223275062,0.00033579237147954945,0.1636388700037724,0.9947475304445282
dinov3_vitb16_lvd1689m_100pass_plan,1000,101,756,16.231696081633615,10.948747823734095,10.9563727048364,5.340042501392931,-0.3126498685024752,8.669017974987503e-05,0.04000050365906126,0.9940000083943178
dinov3_vitb16_lvd1689m_100pass_plan,20000,101,756,14.09327998963913,10.393822122328352,10.38771412160137,3.757873292016511,-0.36175355816831684,0.0003530868400141373,0.04058830828604319,0.9940098051381008
dinov3_vitb16_lvd1689m_100pass_plan,75712,101,756,13.780002216301343,10.408385701698831,10.404793257760529,3.4388676279842265,-0.3773108756188119,0.0003454411727855089,0.04869262073519677,0.9941448770122533
dinov3_vitb16_lvd1689m_100pass_plan,151424,101,756,13.84791343991119,10.411264872787022,10.408512512055955,3.5011961648959926,-0.37945737933168316,0.0003207952447872011,0.07414909863319778,0.9945691516438866
dinov3_vitb16_lvd1689m_100pass_plan,227137,101,756,13.837914334665431,10.417614360847095,10.414054823393869,3.4848663452828283,-0.37818107982673266,0.00028203051570574987,0.11387875266757967,0.9952313125444596
