task,run,ap_epsilon_dec,ap_epsilon_MAE,lat_epsilon_dec,lat_epsilon_MAE,mean_epsilon_dec,mean_epsilon_MAE,split,epoch,train_loss,MAE_mm,MRE_mm,landmarks,SDR_2mm_percent,SDR_3mm_percent,SDR_4mm_percent,SDR_5mm_percent,IDR,IRA,instances,images
7,task07_keypoint_linear/dinov2,23.872531038172106,0.035358404762604656,21.054730224609376,0.03564418010851916,22.463630631390743,0.03550129243556191,val,1,9.284743409686618,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,22.0749070111443,0.03275225381640827,20.256270958395564,0.03441189378499985,21.165588984769933,0.03358207380070406,val,2,8.605213345421685,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,21.69779353422277,0.032223566314753364,20.022140951717603,0.034648784644463484,20.859967242970185,0.03343617547960842,val,3,8.48909232881334,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,20.958491336598115,0.03117455927764668,19.21361205157112,0.03325364160187104,20.086051694084617,0.032214100439758864,val,4,8.422979786660935,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,20.14186939912684,0.02971557536545922,18.560319204891428,0.0317598382339758,19.351094302009134,0.03073770679971751,val,5,8.373906066682604,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,20.276602217730353,0.030826255153207218,18.811435295553768,0.03209190780625624,19.54401875664206,0.031459081479731726,val,6,8.343748760223388,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,19.68722386079676,0.029434945565812727,18.50511959300322,0.03195464672411189,19.09617172689999,0.03069479614496231,val,7,8.323195762104458,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,20.057421381333295,0.030060313379063324,18.67167309031767,0.03212845965343363,19.364547235825484,0.031094386516248476,val,8,8.304893411530388,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,19.530399277630973,0.029196041559471805,18.327053204704733,0.03150964019929661,18.92872624116785,0.03035284087938421,val,9,8.2869848118888,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,19.088152358111213,0.028429227804436404,17.926710151223574,0.030757090975256526,18.507431254667395,0.029593159389846465,val,10,8.274877566761441,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,19.265471245260798,0.029176224768161774,18.220328072940603,0.03119123595602372,18.7428996591007,0.030183730362092747,val,11,8.260486094156901,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,19.07010897468118,0.028272632115027483,18.586685180664062,0.03253070624435649,18.82839707767262,0.03040166917969199,val,12,8.24877106613583,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,19.060427093505858,0.028674265216378603,18.370480571073646,0.03208569428500007,18.715453832289754,0.03037997975068934,val,13,8.245005077785915,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,18.983297011431524,0.02854343591367497,18.19563647999483,0.03172412576044307,18.589466745713175,0.030133780837059018,val,14,8.237142380078634,,,,,,,,,,,
