line,task,label,matched_split,run,reported,correct_test
2334,7,rad-dino_10eps,val,task07_keypoint_linear/rad_dino_init_rad_crops_100pass_plan/training_75712,"[0.01626, 0.02256, 9.72993, 13.13786]","[0.01846116041435915, 0.023972516515675713, 11.43264793844784, 13.496803750430836]"
2335,7,rad-dino_20eps,val,task07_keypoint_linear/rad_dino_init_rad_crops_100pass_plan/training_151424,"[0.01624, 0.02197, 9.71269, 12.76645]","[0.01846077279132955, 0.02351629837470896, 11.398536727007698, 13.17815590353573]"
2336,7,rad-dino_30eps,val,task07_keypoint_linear/rad_dino_init_rad_crops_100pass_plan/training_227137,"[0.01624, 0.02231, 9.80782, 12.81726]","[0.018792371311608484, 0.024153716406401467, 11.799886339973002, 13.45907595466165]"
2344,7,maira2_ori,test,task07_keypoint_linear/rad_dino_maira2,"[0.01932, 0.02568, 11.77726, 14.49194]","[0.0193277108669281, 0.025682801271186155, 11.77726329130285, 14.491949759090648]"
2345,7,maira2_20k_linear,test,task07_keypoint_linear/spine_rad_dino_maira2_teacher_20k,"[0.01989, 0.0255, 12.17669, 14.43928]","[0.01989983400877784, 0.025504411458969117, 12.176697531307445, 14.439284829532399]"
2346,7,maira2_lora,test,task07_keypoint_lora/rad_dino_maira2,"[0.01053, 0.0182, 6.58434, 10.44486]","[0.01053175897720982, 0.018207300178268375, 6.584341291539809, 10.444866254469927]"
2347,7,maira2_10eps,val,task07_keypoint_linear/rad_dino_maira2_init_rad_crops_100pass_plan/training_75712,"[0.01741, 0.02455, 10.53995, 14.12938]","[0.02000927152002559, 0.026822634830194363, 12.845931154138901, 14.960956573486328]"
2348,7,maira2_20eps,val,task07_keypoint_linear/rad_dino_maira2_init_rad_crops_100pass_plan/training_151424,"[0.01717, 0.02327, 10.29233, 13.38926]","[0.020526542768758885, 0.025874118489377637, 12.889033077464385, 14.380784777473002]"
2349,7,maira2_30eps,val,task07_keypoint_linear/rad_dino_maira2_init_rad_crops_100pass_plan/training_227137,"[0.01714, 0.02396, 10.34352, 13.72192]","[0.020694696587674758, 0.02657677075442146, 13.023310798196231, 14.691585890826056]"
2350,7,maira2_40eps,val,task07_keypoint_linear/rad_dino_maira2_init_rad_crops_100pass_plan/training_299999,"[0.01714, 0.02368, 10.37513, 13.5936]","[0.02024800791459925, 0.026166446191423078, 12.52863005694221, 14.568592224121094]"
2351,7,maira2_50eps(),val,task07_keypoint_linear/rad_dino_maira2_init_rad_crops_100pass_plan/training_378562,"[0.01849, 0.02328, 11.06624, 13.31113]","[0.020336335091029896, 0.026192693710327147, 12.546823595832375, 14.751784506405102]"
2357,7,dinov2_ri_10eps,val,task07_keypoint_linear/dinov2_vitb14_random_init_100pass_v2/training_37856,"[0.0877, 0.09836, 60.85491, 59.83554]","[0.0833046903329737, 0.10219497428220861, 56.17090658748851, 59.855988554113054]"
2358,7,dinov2_ri_20eps,val,task07_keypoint_linear/dinov2_vitb14_random_init_100pass_v2/training_75712,"[0.06749, 0.07444, 46.37558, 46.38207]","[0.06613703356069676, 0.078434278123519, 43.69564743939568, 47.460803868910844]"
2359,7,dinov2_ri_30eps,val,task07_keypoint_linear/dinov2_vitb14_random_init_100pass_v2/training_113568,"[0.05989, 0.06261, 40.88929, 39.52292]","[0.056664335166706756, 0.06640714929384343, 37.45347512637868, 40.25579923741958]"
2365,7,dinov3_ori,test,task07_keypoint_linear/dinov3,"[0.02229, 0.02882, 13.52123, 15.94238]","[0.022296391760601716, 0.028821261910831227, 13.521232425465303, 15.94238821590648]"
2366,7,dinov3_20k,test,task07_keypoint_linear/spine_dinov3_teacher_20k,"[0.02191, 0.025671, 14.34661, 14.5214]","[0.02191957622766495, 0.025671010560849132, 14.346612512925091, 14.521401636460249]"
2367,7,dinov3_lora,test,task07_keypoint_lora/dinov3,"[0.01398, 0.0204, 9.14191, 11.51372]","[0.013985775218290442, 0.020402896040502716, 9.14191977108226, 11.513728319055893]"
2368,7,dinov3_10eps,val,task07_keypoint_linear/dinov3_vitb16_lvd1689m_100pass_plan/training_75712,"[0.01665, 0.02409, 10.38716, 14.31961]","[0.018238306396147784, 0.026498840240871204, 11.902141355626723, 14.887879297593061]"
2369,7,dinov3_20eps,val,task07_keypoint_linear/dinov3_vitb16_lvd1689m_100pass_plan/training_151424,"[0.01668, 0.02334, 10.12766, 13.57809]","[0.019529082144007965, 0.025030183231129367, 12.338713334027458, 14.103365577248965]"
2370,7,dinov3_30eps,val,task07_keypoint_linear/dinov3_vitb16_lvd1689m_100pass_plan/training_227137,"[0.01653, 0.02334, 10.19028, 13.94118]","[0.01962053972132066, 0.025022009383229647, 12.48028118357939, 14.174644550996668]"
2371,7,dinov3_40eps,val,task07_keypoint_linear/dinov3_vitb16_lvd1689m_100pass_plan/training_302849,"[0.01627, 0.02278, 9.83841, 13.30381]","[0.018834203744635864, 0.025126818348379695, 11.652518633674173, 14.047574409036075]"
2372,7,dinov3_50eps(early),val,task07_keypoint_linear/dinov3_vitb16_lvd1689m_100pass_plan/training_378562,"[0.01707, 0.02393, 10.72785, 14.0444]","[0.019139797617407407, 0.026278648797203513, 11.966329229018267, 14.750940776151769]"
2379,8,dinov2_ori,test,task08_keypoint_linear/dinov2,"[19.10359, 15.35078, 2.99886, 5.63938, 9.26065, 13.31572]","[19.10359024398959, 15.350780525912613, 2.998868351565447, 5.6393813655224445, 9.26065635609204, 13.315729913240286]"
2380,8,dinov2_lora,test,task08_keypoint_lora/dinov2,"[7.16307, 5.78896, 34.3078, 52.33874, 64.37193, 71.76537]","[7.1630757654536135, 5.788961289649368, 34.307808374198416, 52.3387400980762, 64.37193511882309, 71.76537155790268]"
2381,8,dinov2_10eps,val,task08_keypoint_linear/dinov2_vitb14_lvd142m_100pass_plan/teacher_training_75712,"[19.77745, 16.08231, 2.59042, 4.8387, 8.84652, 13.29423]","[17.92012918962258, 14.62818395844139, 2.6405130139569972, 5.469634100339494, 9.43040362127499, 14.202187853640135]"
2382,8,dinov2_20eps,val,task08_keypoint_linear/dinov2_vitb14_lvd142m_100pass_plan/teacher_training_151424,"[19.85533, 16.02462, 2.54154, 5.22971, 8.30889, 12.90322]","[18.85509070501108, 15.252124718745579, 2.3198792908336476, 5.545077329309694, 9.14749151263674, 13.466616371180686]"
2383,8,dinov2_30eps,val,task08_keypoint_linear/dinov2_vitb14_lvd142m_100pass_plan/teacher_training_229999,"[19.397, 15.76852, 2.15053, 5.22971, 8.26001, 12.21896]","[18.068375502924162, 14.652954803777613, 2.6782346284420973, 5.337608449641644, 9.166352319879291, 13.655224443606187]"
2384,8,dinov2_40eps,val,task08_keypoint_linear/dinov2_vitb14_lvd142m_100pass_plan/teacher_training_299999,"[19.48131, 15.81168, 1.90615, 4.30107, 7.57575, 11.77908]","[18.065271487644328, 14.597296387777828, 2.301018483591098, 5.375330064126745, 9.053187476423991, 13.994718973972086]"
2385,8,dinov2_50eps,val,task08_keypoint_linear/dinov2_vitb14_lvd142m_100pass_plan/teacher_training_378562,"[19.81811, 15.97052, 2.54154, 4.93646, 8.21114, 11.7302]","[18.4843058663465, 14.865949172426825, 2.7159562429271973, 5.733685401735194, 9.65673330818559, 13.956997359486985]"
2391,8,rad-dino_ori,test,task08_keypoint_linear/rad_dino,"[16.57646, 13.38341, 3.79102, 7.82723, 12.67446, 18.97397]","[16.576465280044307, 13.383415012079022, 3.791022255752546, 7.827235005658242, 12.674462466993587, 18.973972086005283]"
2392,8,rad-dino_20k,test,task08_keypoint_linear/spine_rad_dino_teacher_20k,"[14.55198, 11.78134, 5.46963, 11.01471, 17.67257, 24.33044]","[14.5519800923627, 11.781349783616442, 5.469634100339494, 11.01471142964919, 17.67257638626933, 24.330441342889475]"
2393,8,rad_dino_lora,test,task08_keypoint_lora/rad_dino,"[7.27726, 5.83852, 26.29196, 44.85099, 59.31723, 69.59637]","[7.277262572206133, 5.8385230977775375, 26.291965296114675, 44.85099962278385, 59.31723877781969, 69.59637872500943]"
2394,8,rad_dino_10eps,val,task08_keypoint_linear/rad_dino_init_rad_crops_100pass_plan/training_75712,"[14.27606, 11.58468, 4.25219, 9.53079, 15.7869, 23.2649]","[12.496785403107392, 10.030409828396124, 6.0543191248585435, 12.202942285929838, 19.06827612221803, 27.517917766880423]"
2395,8,rad_dino_20eps,val,task08_keypoint_linear/rad_dino_init_rad_crops_100pass_plan/training_151424,"[13.89839, 11.27282, 5.52297, 12.41446, 19.0127, 26.0997]","[12.375028480003124, 9.922698024892213, 5.827989437947944, 12.202942285929838, 19.91701244813278, 28.027159562429272]"
2396,8,rad_dino_30eps,val,task08_keypoint_linear/rad_dino_init_rad_crops_100pass_plan/training_227137,"[14.1569, 11.45007, 5.8651, 10.5083, 18.37732, 25.70869]","[11.908069692616731, 9.545904717144989, 6.393813655224443, 13.410033949453037, 21.369294605809127, 30.47906450396077]"
2402,8,dinov2_ri_10eps,val,task08_keypoint_linear/dinov2_vitb14_random_init_100pass_v2/training_37856,"[39.30677, 31.02033, 0.1955, 0.87976, 1.6129, 2.34604]","[38.78818604344469, 30.380870621953537, 0.24519049415314975, 0.5281026027913994, 1.169370049038099, 2.036967182195398]"
2403,8,dinov2_ri_20eps,val,task08_keypoint_linear/dinov2_vitb14_random_init_100pass_v2/training_75712,"[36.12069, 28.57208, 0.1955, 0.63538, 1.56402, 2.44379]","[35.64447103217609, 28.07008033732296, 0.4149377593360996, 0.9241795548849491, 1.5654470011316484, 2.4896265560165975]"
2404,8,dinov2_ri_30eps,val,task08_keypoint_linear/dinov2_vitb14_random_init_100pass_v2/training_113568,"[33.03676, 26.23125, 0.48875, 1.22189, 2.10166, 4.05669]","[32.225651646415855, 25.451290514818997, 0.5846850245190495, 1.2259524707657488, 2.3576009053187477, 3.3760844964164467]"
2410,8,maira2_ori,test,task08_keypoint_linear/rad_dino_maira2,"[15.0743, 12.18495, 4.26254, 9.03432, 14.65484, 21.93511]","[15.074300391140726, 12.184952070019643, 4.262542436816296, 9.034326669181441, 14.654847227461335, 21.935118823085627]"
2411,8,maira2_20k,test,task08_keypoint_linear/spine_rad_dino_maira2_teacher_20k,"[13.60726, 11.07029, 5.7714, 12.12749, 19.70954, 27.49905]","[13.607267214999204, 11.070293957491904, 5.771407016220294, 12.127499056959637, 19.70954356846473, 27.499056959637873]"
2412,8,maira2_lora,test,task08_keypoint_lora/rad_dino_maira2,"[5.85513, 4.69481, 47.24632, 68.57789, 80.04526, 86.1373]","[5.8551399061159115, 4.694816525321508, 47.2463221425877, 68.57789513391174, 80.04526593738213, 86.13730667672576]"
2413,8,maira2_10eps,val,task08_keypoint_linear/rad_dino_maira2_init_rad_crops_100pass_plan/teacher_training_75712,"[14.85395, 12.07742, 5.52297, 9.92179, 17.30205, 25.46432]","[12.505476696542505, 10.043315344961217, 6.393813655224443, 13.428894756695586, 21.01093926820068, 28.81931346661637]"
2414,8,maira2_20eps,val,task08_keypoint_linear/rad_dino_maira2_init_rad_crops_100pass_plan/teacher_training_151424,"[14.32778, 11.53256, 6.54936, 12.90322, 20.13685, 28.15249]","[11.673538006552658, 9.338714893158317, 7.487740475292343, 15.032063372312335, 23.651452282157678, 33.628819313466614]"
2415,8,maira2_30eps,val,task08_keypoint_linear/rad_dino_maira2_init_rad_crops_100pass_plan/teacher_training_227137,"[13.15886, 10.55826, 8.99315, 17.49755, 26.73509, 35.92375]","[10.949500551227352, 8.738154333252044, 9.29837797057714, 19.10599773670313, 29.02678234628442, 39.47566955865711]"
2416,8,maira2_40eps,val,task08_keypoint_linear/rad_dino_maira2_init_rad_crops_100pass_plan/teacher_training_299999,"[12.23011, 9.83021, 9.18866, 20.18572, 30.84066, 41.05571]","[10.243745818942145, 8.182080401604422, 11.31648434552999, 21.897397208600527, 33.741984156921916, 43.73821199547341]"
2417,8,maira2_50eps,val,task08_keypoint_linear/rad_dino_maira2_init_rad_crops_100pass_plan/teacher_training_378562,"[11.55207, 9.22207, 13.88074, 26.93059, 39.78494, 49.70674]","[9.152162448993858, 7.273219594592105, 13.560920407393436, 26.254243681629575, 39.96605054696341, 51.395699735948696]"
2423,8,dinov3_ori,test,task08_keypoint_linear/dinov3,"[16.12292, 12.95358, 3.60241, 7.12938, 12.29724, 18.57789]","[16.122924465091668, 12.953580023881761, 3.6024141833270464, 7.129385137683893, 12.297246322142588, 18.57789513391173]"
2424,8,dinov3_20k,test,task08_keypoint_linear/spine_dinov3_teacher_20k,"[14.24095, 11.65638, 5.22444, 10.61863, 17.44624, 24.50018]","[14.240957253656491, 11.6563806407904, 5.224443606186345, 10.61863447755564, 17.44624669935873, 24.500188608072424]"
2425,8,dinov3_lora,test,task08_keypoint_lora/dinov3,"[7.63258, 6.16938, 26.44285, 46.09581, 59.73217, 70.14334]","[7.632584049853682, 6.169382939290119, 26.442851754055074, 46.095812900792154, 59.73217653715579, 70.14334213504338]"
2426,8,dinov3_10eps,val,task08_keypoint_linear/dinov3_vitb16_lvd1689m_100pass_plan/training_75712,"[16.8737, 13.7142, 4.39882, 8.55327, 13.39198, 19.0127]","[14.488724773670313, 11.815335642477558, 5.149000377216145, 10.35458317615994, 17.615993964541683, 24.839683138438325]"
2427,8,dinov3_20eps,val,task08_keypoint_linear/dinov3_vitb16_lvd1689m_100pass_plan/training_151424,"[17.05632, 13.82129, 4.4477, 9.04203, 14.61388, 20.4301]","[14.170109769345588, 11.53849550158696, 4.507732930969445, 9.78875895888344, 16.163711806865333, 23.443983402489625]"
2428,8,dinov3_30eps,val,task08_keypoint_linear/dinov3_vitb16_lvd1689m_100pass_plan/training_227137,"[15.96485, 13.08462, 4.10557, 9.0909, 15.68914, 22.33626]","[14.127640829586344, 11.52517317430517, 5.620520558279894, 10.976989815164089, 17.46510750660128, 24.311580535646925]"
2429,8,dinov3_40eps,val,task08_keypoint_linear/dinov3_vitb16_lvd1689m_100pass_plan/training_302849,"[16.17924, 13.27538, 4.10557, 9.0909, 13.88074, 19.94134]","[13.583690992979138, 11.02344483872352, 6.092040739343644, 11.750282912108638, 18.936250471520182, 25.952470765748775]"
2430,8,dinov3_50eps,val,task08_keypoint_linear/dinov3_vitb16_lvd1689m_100pass_plan/training_378562,"[16.36492, 13.25746, 4.10557, 9.18866, 15.7869, 21.89638]","[14.000730804477895, 11.351963510876644, 5.431912485854395, 11.618257261410788, 18.181818181818183, 24.990569596378727]"
2437,9,dinov2_linear,test,task09_linear/dinov2_100ep,"[79.84063, 38.40579]","[79.8406374501992, 38.405797101449274]"
2438,9,dinov2_lora,test,task09_lora/dinov2,"[94.82071, 81.15942]","[94.8207171314741, 81.15942028985508]"
2439,9,dinov2_10eps,val,task09_linear/dinov2_vitb14_lvd142m_100pass_plan/training_75712,"[65.42372, 21.34387]","[67.56972111553785, 23.18840579710145]"
2440,9,dinov2_20eps,val,task09_linear/dinov2_vitb14_lvd142m_100pass_plan/training_151424,"[64.91525, 17.78656]","[67.09163346613546, 19.565217391304348]"
2441,9,dinov2_30eps,val,task09_linear/dinov2_vitb14_lvd142m_100pass_plan/training_229999,"[67.66949, 21.34387]","[67.64940239043824, 21.014492753623188]"
2442,9,dinov2_40eps,val,task09_linear/dinov2_vitb14_lvd142m_100pass_plan/training_299999,"[65.9322, 18.57707]","[67.01195219123505, 21.014492753623188]"
2443,9,dinov2_50eps,val,task09_linear/dinov2_vitb14_lvd142m_100pass_plan/training_378562,"[66.8644, 17.3913]","[67.33067729083665, 18.840579710144926]"
2449,9,rad-dino_ori,test,task09_linear/rad_dino_100ep,"[86.45418, 50.72463]","[86.45418326693228, 50.72463768115942]"
2450,9,rad-dino_20k,test,task09_linear/spine_rad_dino_teacher_20k,"[87.6494, 52.89855]","[87.64940239043824, 52.89855072463768]"
2451,9,rad-dino_lora,test,task09_lora/rad_dino,"[92.58964, 75.36231]","[92.58964143426294, 75.3623188405797]"
2452,9,rad_dino_10eps,val,task09_linear/rad_dino_init_rad_crops_100pass_plan/training_75712,"[87.45762, 62.45059]","[87.80876494023904, 60.869565217391305]"
2453,9,rad_dino_20eps,val,task09_linear/rad_dino_init_rad_crops_100pass_plan/training_151424,"[87.54237, 65.21739]","[87.49003984063745, 62.31884057971015]"
2454,9,rad_dino_30eps,val,task09_linear/rad_dino_init_rad_crops_100pass_plan/training_227137,"[88.38983, 63.63636]","[87.49003984063745, 63.768115942028984]"
2460,9,maira2_ori,test,task09_linear/rad_dino_maira2_100ep,"[85.97609, 45.65217]","[85.97609561752988, 45.65217391304348]"
2461,9,maira2_20k,test,task09_linear/spine_rad_dino_maira2_teacher_20k,"[84.86055, 52.17391]","[84.86055776892431, 52.17391304347826]"
2462,9,maira2_lora,test,task09_lora/rad_dino_maira2,"[95.53784, 86.23188]","[95.5378486055777, 86.23188405797102]"
2463,9,maira2_10eps,val,task09_linear/rad_dino_maira2_init_rad_crops_100pass_plan/training_75712,"[85.25423, 59.28853]","[85.33864541832669, 52.17391304347826]"
2464,9,maira2_20eps,val,task09_linear/rad_dino_maira2_init_rad_crops_100pass_plan/training_151424,"[86.56779, 59.68379]","[87.09163346613546, 55.79710144927536]"
2465,9,maira2_30eps,val,task09_linear/rad_dino_maira2_init_rad_crops_100pass_plan/training_227137,"[87.11864, 63.2411]","[87.33067729083665, 64.4927536231884]"
2466,9,maira2_40eps,val,task09_linear/rad_dino_maira2_init_rad_crops_100pass_plan/training_299999,"[88.68644, 67.58893]","[87.80876494023904, 64.4927536231884]"
2467,9,maira2_50eps,val,task09_linear/rad_dino_maira2_init_rad_crops_100pass_plan/training_378562,"[89.40677, 69.56521]","[88.20717131474103, 64.4927536231884]"
2473,9,dinov2_ri_10eps,val,task09_linear/dinov2_vitb14_random_init_100pass_v2/training_37856,"[47.3305, 3.55731]","[49.721115537848604, 2.1739130434782608]"
2474,9,dinov2_ri_20eps,val,task09_linear/dinov2_vitb14_random_init_100pass_v2/training_75712,"[54.70338, 7.11462]","[58.40637450199203, 5.797101449275362]"
2475,9,dinov2_ri_30eps,val,task09_linear/dinov2_vitb14_random_init_100pass_v2/training_113568,"[60.04237, 11.06719]","[63.66533864541832, 12.318840579710145]"
2481,9,dinov3_ori,test,task09_linear/dinov3_100ep,"[84.54183, 46.37681]","[84.54183266932272, 46.3768115942029]"
2482,9,dinov3_20k,test,task09_linear/spine_dinov3_teacher_20k,"[85.65737, 57.97101]","[85.65737051792829, 57.971014492753625]"
2483,9,dinov3_lora,test,task09_lora/dinov3,"[90.5976, 76.08695]","[90.59760956175299, 76.08695652173913]"
2484,9,dinov3_10eps,val,task09_linear/dinov3_vitb16_lvd1689m_100pass_plan/training_75712,"[79.70338, 51.38339]","[82.86852589641434, 51.44927536231884]"
2485,9,dinov3_20eps,val,task09_linear/dinov3_vitb16_lvd1689m_100pass_plan/training_151424,"[82.03389, 54.54545]","[85.57768924302789, 58.69565217391305]"
2486,9,dinov3_30eps,val,task09_linear/dinov3_vitb16_lvd1689m_100pass_plan/training_227137,"[81.61016, 53.35968]","[84.9402390438247, 57.971014492753625]"
2487,9,dinov3_40eps,val,task09_linear/dinov3_vitb16_lvd1689m_100pass_plan/training_302849,"[85.25423, 56.52173]","[87.17131474103586, 59.42028985507246]"
2488,9,dinov3_50eps,val,task09_linear/dinov3_vitb16_lvd1689m_100pass_plan/training_378562,"[84.3644, 57.31225]","[87.17131474103586, 57.2463768115942]"
